trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
45,0,45,0,80.36296024999956,,80.35002487499969,5,80.36296024999956,80.36296024999956,0.007947957999931532,81.88026441599959,[0.40166666666666667],[-0.305],[1],[0],[0],[1.5226159170001665],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
46,0,46,0,81.90483499999982,,81.88257291599984,10,81.90483499999982,81.90483499999982,0.015180207999947015,83.45637179099958,[0.035],[-0.38166666666666665],[1],[0],[0],[1.558937541999967],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
47,0,47,0,83.48054433299967,,83.45852937499967,10,83.48054433299967,83.48054433299967,0.014894249999997555,84.78112799999963,[0.3283333333333333],[-0.38333333333333336],[1],[0],[0],[1.3079876250003508],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
48,0,48,0,84.79606654099962,,84.7833137499997,5,84.79606654099962,84.79606654099962,0.007895249999819498,86.14056812499985,[0.35],[0.02666666666666667],[1],[0],[0],[1.3497006249999686],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
49,0,49,0,86.16515691599989,,86.14284870799975,10,86.16515691599989,86.16515691599989,0.015047583000068698,88.24776908299964,[-0.3566666666666667],[-0.105],[1],[0],[0],[2.0902458749997095],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
50,0,50,0,88.26274599999988,,88.24999799999978,5,88.26274599999988,88.26274599999988,0.007913874999758264,89.46354983299989,[-0.3566666666666667],[0.04833333333333333],[1],[0],[0],[1.20595533300002],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
51,0,51,0,89.47926737499984,,89.46593574999997,5,89.47926737499984,89.47926737499984,0.008180875000107335,91.27384145799988,[0.016666666666666666],[-0.23833333333333334],[1],[0],[0],[1.8001353750000817],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
52,0,52,0,91.29788949999966,,91.27616470799967,10,91.29788949999966,91.29788949999966,0.014872666999963258,92.54803837499958,[0.32],[0.175],[1],[0],[0],[1.257373916999768],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
53,0,53,0,92.56342795799992,,92.55024562499966,5,92.56342795799992,92.56342795799992,0.008215415999984543,93.99071024999967,[-0.385],[0.14666666666666667],[1],[0],[0],[1.4325979579998602],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
54,0,54,0,94.00582962499993,,93.99303812499966,5,94.00582962499993,94.00582962499993,0.007966874999965512,95.17390366599966,[-0.4216666666666667],[0.16666666666666666],[1],[0],[0],[1.1732717919999232],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
